Player,Agents,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team,Opp_Team,rounds_won,rounds_lost,ct_rounds_won,ct_rounds_lost,t_rounds_won,t_rounds_lost,Map,Patch
patochovsk,raze,282,22,21,12,1,184.5,14,6,7,-1,4976,VK,Mix,14,12,8,4,4,8,ASCENT,
flainzz,killjoy,216,20,19,6,1,134.6,11,0,1,-1,4976,VK,Mix,14,12,8,4,4,8,ASCENT,
NikkoLAN,jett,208,19,17,4,2,114.3,11,4,2,2,4976,VK,Mix,14,12,8,4,4,8,ASCENT,
NANZIN,sova,201,19,14,7,5,135.3,26,2,3,-1,4976,VK,Mix,14,12,8,4,4,8,ASCENT,
FLG1,omen,191,19,18,4,1,150.8,22,0,1,-1,4976,VK,Mix,14,12,8,4,4,8,ASCENT,
Evilkyk,sova,277,23,21,9,2,216.0,24,2,1,1,4976,Mix,VK,12,14,8,4,4,8,ASCENT,
txddy,cypher,231,21,20,6,1,139.3,30,3,2,1,4976,Mix,VK,12,14,8,4,4,8,ASCENT,
tuyz,sage,212,19,19,8,0,135.1,16,3,1,2,4976,Mix,VK,12,14,8,4,4,8,ASCENT,
rst,omen,162,14,17,5,-3,112.4,18,0,2,-2,4976,Mix,VK,12,14,8,4,4,8,ASCENT,
Biscoit1n,jett,140,12,22,4,-10,74.8,8,6,6,0,4976,Mix,VK,12,14,8,4,4,8,ASCENT,
LEozin,raze,267,22,12,1,10,149.1,24,4,0,4,4943,BD,Mix,8,13,2,7,6,6,HAVEN,
bezn1,jett,180,11,16,9,-5,109.0,20,2,3,-1,4943,BD,Mix,8,13,2,7,6,6,HAVEN,
wilfps,cypher,169,12,15,2,-3,127.5,20,2,3,-1,4943,BD,Mix,8,13,2,7,6,6,HAVEN,
rhz,sova,165,11,14,5,-3,107.6,27,1,1,0,4943,BD,Mix,8,13,2,7,6,6,HAVEN,
rood,omen,123,7,15,9,-8,82.0,6,2,3,-1,4943,BD,Mix,8,13,2,7,6,6,HAVEN,
txddy,cypher,246,21,11,2,10,144.4,28,2,0,2,4943,Mix,BD,13,8,6,6,7,2,HAVEN,
Biscoit1n,jett,235,16,13,5,3,150.8,21,3,3,0,4943,Mix,BD,13,8,6,6,7,2,HAVEN,
Evilkyk,sova,209,15,12,3,3,127.1,18,2,3,-1,4943,Mix,BD,13,8,6,6,7,2,HAVEN,
tuyz,reyna,148,9,13,8,-4,94.6,22,2,2,0,4943,Mix,BD,13,8,6,6,7,2,HAVEN,
